Loop	Sum
  315	146509792
  316	145453376
  317	144881904
  318	145295584
  319	144993120
  320	144247296
  321	143642592
  322	145053152
  323	145164608
  324	144788192
  325	145814640
  326	145624608
  327	145905296
  328	145422400
  329	146512064
  330	146073136
  331	146007504
  332	146905808
  333	146860592
  334	146423280
  335	145487520
  336	146676096
  337	146749392
  338	145745232
  339	145154496
  340	146389680
  341	145795520
  342	146411888
  343	146832224
  344	146077808
  345	145888208
  346	145248768
  347	146468640
  348	147636416
  349	147109264
  350	147722432
  351	147330928
  352	145374336
  353	146612016
  354	147106144
  355	147142448
  356	147176848
  357	147239040
  358	147933152
  359	146663888
  360	146383088
  361	146628704
  362	147994240
  363	146993072
  364	146076064
  365	146321840
  366	146262928
  367	147225888
  368	146878000
  369	146565056
  370	146359120
  371	145131136
  372	146359920
  373	145637584
  374	144786416
  375	145918384
  376	146406800
  377	146498480
  378	146695168
  379	146836528
  380	146681168
  381	146410416
  382	145938240
  383	146231056
  384	145508400
  385	146562016
  386	146659680
  387	145215024
  388	145198368
  389	144747664
  390	144659600
  391	144886560
  392	145457744
  393	145133504
  394	145185344
  395	144773904
  396	145727872
  397	145191392
  398	146234400
  399	146292640
  400	145062096
  401	145852736
  402	145486016
  403	145156400
  404	146004784
  405	145329440
  406	144625136
  407	144303248
  408	144774432
  409	143374432
  410	143667808
  411	143918224
  412	146077248
  413	144033136
  414	144536432
  415	145402768
  416	145928416
  417	144566592
  418	144674080
  419	144509120
  420	144279520
  421	145412080
  422	145081152
  423	145315792
  424	144912400
  425	146703552
  426	146586624
  427	145064208
  428	146747584
  429	146034144
  430	145939824
  431	146264592
  432	145223008
  433	144863696
  434	144296624
  435	144042000
  436	143954832
  437	145759280
  438	145851920
  439	145401344
  440	146216640
  441	146327440
  442	145485952
  443	145512704
  444	145718512
  445	145650800
  446	146130000
  447	146090720
  448	146184304
  449	145325824
  450	144524096
  451	144169712
  452	143899920
  453	145717104
  454	145994944
  455	144577184
  456	144574544
  457	144905968
  458	143495712
  459	144754992
  460	143523008
  461	142759152
  462	143727728
  463	144139312
  464	143901216
  465	144859200
  466	144552512
  467	145707872
  468	145620368
  469	145626528
  470	145412928
  471	145844208
  472	144928128
  473	145403840
  474	144950352
  475	143802064
  476	144160576
  477	145396080
  478	144764736
  479	143915744
  480	143877968
  481	144979568
  482	145175024
  483	144868096
  484	144692144
  485	144370272
  486	144800576
  487	143773728
  488	144375424
  489	145510064
  490	143972128
  491	143741760
  492	143529744
  493	143197328
  494	143084496
  495	143701728
  496	143645456
  497	142571040
  498	143521344
  499	143715056
  500	144477008
  501	144457312
  502	143020256
  503	143117088
  504	143042288
  505	142392736
  506	143418848
  507	143493264
  508	142545696
  509	143812880
  510	142254560
  511	141719392
  512	143082704
  513	142934976
  514	142196976
  515	143955968
  516	144337760
  517	143231184
  518	143471872
  519	144653808
  520	143891104
  521	143661728
  522	143874416
  523	143561568
  524	144402944
  525	144509440
  526	144094848
  527	144793744
  528	144405104
  529	144189936
  530	145000624
  531	144527600
  532	144107296
  533	145092608
  534	144649104
  535	144947920
  536	145885952
  537	143820304
  538	144953808
  539	144673264
  540	144401664
  541	144601328
  542	144598672
  543	144285360
  544	144361168
  545	144337824
  546	143039184
  547	143114224
  548	142601648
  549	143680624
  550	144191856
  551	143020656
  552	143932816
  553	144244816
  554	142521168
  555	143458160
